Howk,Dove,Total
100,100,200
100,100,200
100,100,200
148,100,248
147,105,252
187,112,299
204,122,326
225,132,357
238,136,374
260,140,400
271,145,416
291,149,440
301,154,455
307,160,467
320,165,485
334,166,500
349,169,518
341,171,512
354,172,526
357,174,531
368,174,542
369,175,544
383,175,558
404,175,579
413,175,588
410,176,586
404,178,582
407,176,583
396,180,576
396,180,576
410,179,589
426,180,606
435,179,614
444,179,623
444,177,621
456,177,633
453,178,631
448,175,623
456,177,633
461,177,638
472,176,648
462,175,637
461,170,631
466,171,637
453,172,625
460,169,629
469,168,637
477,163,640
479,162,641
471,159,630
486,156,642
488,156,644
485,153,638
490,150,640
496,146,642
497,138,635
480,136,616
467,133,600
468,132,600
460,131,591
454,129,583
461,130,591
452,126,578
438,124,562
437,121,558
435,117,552
425,117,542
419,116,535
418,114,532
417,109,526
409,104,513
413,100,513
411,97,508
408,97,505
402,94,496
405,94,499
400,93,493
393,92,485
378,90,468
365,88,453
353,89,442
360,89,449
351,83,434
335,85,420
332,86,418
327,85,412
331,81,412
318,79,397
319,72,391
308,71,379
299,72,371
298,72,370
284,73,357
286,70,356
280,70,350
280,66,346
280,65,345
277,65,342
270,67,337
258,64,322
258,66,324
