Howk,Dove,Total
100,100,200
100,100,200
100,100,200
154,100,254
164,109,273
204,110,314
213,113,326
223,118,341
239,123,362
255,127,382
280,133,413
294,139,433
301,143,444
309,145,454
310,147,457
318,150,468
334,155,489
345,158,503
348,160,508
354,162,516
369,164,533
377,166,543
384,166,550
393,169,562
401,170,571
408,170,578
405,171,576
410,164,574
419,161,580
426,160,586
424,160,584
434,162,596
439,164,603
442,164,606
449,163,612
455,164,619
454,163,617
459,162,621
456,161,617
453,158,611
458,159,617
463,158,621
465,157,622
472,156,628
484,155,639
473,154,627
472,154,626
470,148,618
464,147,611
470,148,618
472,144,616
483,141,624
477,140,617
485,138,623
491,138,629
490,133,623
481,133,614
473,127,600
466,125,591
450,125,575
456,125,581
449,124,573
447,119,566
435,119,554
438,119,557
433,115,548
424,111,535
426,109,535
426,107,533
421,105,526
420,104,524
418,103,521
407,98,505
394,98,492
386,98,484
388,97,485
391,94,485
372,92,464
366,92,458
360,89,449
347,86,433
346,83,429
340,81,421
331,81,412
331,80,411
319,81,400
317,81,398
300,75,375
302,74,376
302,73,375
289,73,362
281,73,354
277,72,349
278,70,348
271,68,339
270,68,338
267,66,333
262,64,326
255,61,316
252,61,313
263,60,323
244,58,302
244,59,303
238,59,297
246,58,304
242,57,299
245,57,302
243,59,302
235,59,294
224,59,283
222,60,282
219,60,279
214,60,274
217,57,274
221,57,278
218,57,275
216,58,274
217,58,275
220,59,279
223,58,281
226,59,285
213,58,271
213,55,268
218,55,273
224,55,279
226,55,281
222,53,275
216,54,270
222,55,277
218,57,275
220,56,276
215,58,273
217,58,275
215,60,275
217,62,279
214,65,279
218,64,282
219,64,283
226,63,289
229,63,292
219,63,282
220,66,286
223,67,290
223,68,291
229,69,298
229,67,296
237,67,304
246,68,314
242,70,312
231,72,303
238,72,310
247,71,318
251,73,324
244,75,319
252,73,325
250,73,323
250,73,323
255,74,329
255,75,330
256,77,333
263,78,341
261,80,341
261,81,342
258,82,340
253,80,333
259,81,340
278,82,360
270,83,353
269,82,351
262,82,344
272,82,354
271,82,353
278,81,359
276,81,357
279,82,361
280,81,361
274,79,353
281,77,358
274,77,351
273,74,347
265,76,341
273,76,349
266,76,342
272,76,348
269,75,344
271,78,349
278,77,355
280,78,358
289,76,365
285,73,358
285,73,358
284,72,356
280,72,352
278,72,350
273,72,345
262,71,333
265,70,335
258,69,327
250,70,320
252,70,322
252,71,323
254,70,324
241,70,311
246,70,316
239,71,310
251,73,324
248,71,319
260,71,331
261,72,333
270,71,341
256,72,328
263,72,335
269,71,340
263,73,336
271,73,344
270,72,342
269,72,341
264,73,337
272,74,346
268,73,341
266,73,339
268,75,343
270,75,345
276,73,349
269,74,343
268,73,341
265,72,337
277,70,347
267,70,337
276,68,344
266,67,333
268,65,333
269,65,334
254,67,321
256,67,323
248,67,315
249,66,315
245,64,309
240,65,305
230,63,293
241,63,304
233,63,296
231,62,293
236,61,297
231,63,294
227,63,290
230,62,292
224,62,286
229,64,293
235,62,297
230,61,291
231,62,293
243,63,306
246,61,307
241,60,301
240,62,302
240,64,304
238,65,303
239,66,305
245,69,314
254,68,322
247,69,316
246,70,316
244,71,315
239,71,310
245,70,315
254,70,324
258,70,328
256,70,326
236,71,307
239,73,312
252,74,326
253,75,328
249,75,324
250,73,323
253,71,324
249,72,321
246,69,315
247,68,315
254,66,320
249,66,315
247,68,315
243,68,311
239,68,307
245,69,314
246,70,316
233,71,304
238,75,313
239,76,315
243,75,318
241,76,317
241,75,316
243,75,318
246,76,322
243,77,320
240,77,317
252,80,332
258,80,338
256,82,338
253,82,335
255,81,336
260,81,341
265,80,345
259,80,339
256,79,335
264,80,344
259,80,339
273,81,354
280,82,362
279,82,361
277,85,362
281,85,366
283,84,367
282,85,367
279,85,364
279,84,363
281,83,364
289,81,370
281,83,364
290,83,373
279,83,362
287,84,371
287,84,371
285,83,368
282,83,365
281,85,366
289,85,374
284,86,370
287,85,372
289,84,373
287,84,371
277,84,361
286,83,369
284,81,365
286,82,368
293,82,375
288,82,370
286,83,369
291,83,374
281,84,365
278,86,364
275,85,360
280,85,365
290,86,376
289,86,375
306,87,393
299,84,383
300,82,382
287,82,369
291,82,373
284,80,364
274,82,356
283,81,364
283,83,366
277,83,360
280,83,363
280,83,363
282,84,366
278,86,364
283,84,367
287,84,371
285,86,371
291,85,376
288,85,373
285,84,369
288,82,370
285,82,367
286,81,367
289,81,370
276,78,354
284,78,362
280,78,358
272,77,349
270,78,348
272,78,350
268,78,346
265,78,343
267,78,345
271,80,351
270,79,349
275,76,351
278,74,352
281,76,357
276,76,352
266,77,343
272,77,349
265,76,341
263,75,338
271,72,343
265,72,337
262,71,333
271,72,343
262,70,332
260,69,329
262,69,331
265,70,335
263,72,335
261,71,332
250,72,322
257,73,330
264,71,335
260,71,331
261,72,333
267,70,337
263,70,333
263,71,334
269,71,340
273,70,343
267,67,334
276,68,344
275,67,342
269,65,334
270,62,332
270,62,332
270,63,333
263,63,326
262,63,325
254,64,318
257,62,319
257,62,319
253,61,314
252,60,312
245,60,305
240,61,301
239,61,300
231,58,289
241,59,300
231,61,292
232,61,293
232,61,293
224,62,286
232,62,294
226,63,289
232,63,295
235,63,298
229,60,289
223,61,284
229,60,289
233,61,294
225,60,285
232,59,291
239,60,299
235,61,296
229,61,290
221,61,282
221,59,280
220,61,281
222,62,284
214,62,276
214,62,276
216,62,278
219,62,281
220,62,282
221,63,284
225,64,289
230,66,296
217,68,285
220,67,287
226,68,294
225,68,293
224,68,292
229,69,298
239,68,307
237,68,305
241,67,308
248,68,316
247,67,314
235,68,303
234,67,301
240,68,308
240,67,307
239,68,307
234,69,303
235,71,306
239,73,312
247,73,320
236,73,309
254,72,326
244,72,316
239,71,310
238,69,307
248,72,320
252,73,325
245,75,320
249,73,322
249,74,323
248,75,323
253,74,327
252,74,326
251,73,324
263,72,335
262,69,331
252,67,319
247,68,315
260,69,329
248,69,317
255,68,323
251,67,318
253,66,319
254,66,320
254,65,319
248,64,312
254,64,318
255,64,319
255,64,319
240,62,302
238,61,299
239,60,299
239,60,299
242,61,303
235,62,297
240,62,302
238,61,299
242,58,300
239,60,299
238,60,298
234,60,294
232,59,291
224,60,284
224,61,285
225,62,287
217,64,281
222,62,284
231,61,292
219,61,280
218,63,281
218,63,281
214,64,278
236,64,300
224,65,289
223,65,288
230,65,295
242,66,308
234,66,300
234,65,299
235,66,301
243,64,307
246,64,310
244,63,307
242,64,306
236,65,301
234,66,300
229,66,295
224,66,290
236,65,301
233,64,297
229,66,295
228,67,295
236,68,304
244,69,313
243,67,310
243,66,309
245,65,310
244,66,310
241,64,305
243,66,309
245,67,312
240,65,305
235,63,298
231,64,295
239,64,303
245,65,310
248,65,313
240,64,304
242,63,305
238,62,300
241,62,303
236,61,297
216,62,278
220,61,281
224,60,284
218,62,280
229,61,290
227,59,286
221,58,279
215,59,274
211,61,272
211,61,272
213,62,275
217,62,279
225,62,287
218,62,280
237,60,297
229,60,289
225,61,286
229,61,290
220,60,280
223,60,283
217,60,277
215,61,276
224,62,286
230,62,292
244,62,306
250,62,312
247,62,309
238,62,300
238,61,299
230,61,291
235,61,296
233,61,294
226,60,286
224,60,284
230,60,290
217,62,279
228,61,289
229,61,290
233,62,295
228,63,291
229,62,291
221,61,282
225,60,285
220,61,281
227,62,289
218,65,283
226,65,291
219,65,284
216,68,284
230,68,298
229,68,297
234,69,303
237,71,308
248,70,318
241,71,312
234,69,303
247,69,316
240,70,310
224,71,295
237,71,308
238,71,309
244,71,315
242,72,314
238,73,311
250,72,322
244,72,316
244,71,315
241,72,313
237,73,310
233,75,308
234,74,308
244,75,319
245,76,321
247,78,325
246,78,324
256,79,335
258,80,338
256,82,338
262,81,343
265,80,345
265,82,347
272,84,356
267,84,351
265,83,348
276,84,360
272,84,356
280,86,366
271,85,356
272,87,359
273,87,360
279,86,365
280,84,364
283,83,366
286,80,366
298,79,377
292,82,374
293,84,377
293,86,379
302,86,388
293,86,379
294,86,380
297,88,385
288,88,376
303,88,391
291,90,381
288,86,374
288,86,374
291,87,378
289,87,376
297,85,382
299,84,383
300,85,385
295,85,380
295,85,380
296,86,382
297,84,381
287,83,370
297,80,377
287,78,365
292,78,370
283,77,360
267,77,344
264,75,339
265,74,339
264,75,339
272,77,349
265,77,342
258,77,335
256,77,333
261,77,338
257,76,333
258,75,333
266,76,342
263,76,339
266,74,340
269,75,344
272,74,346
263,71,334
269,71,340
265,71,336
261,70,331
262,67,329
258,67,325
260,66,326
253,66,319
251,67,318
247,64,311
246,64,310
259,62,321
252,63,315
248,63,311
250,64,314
244,63,307
238,64,302
241,65,306
239,63,302
231,64,295
237,63,300
237,63,300
237,63,300
241,61,302
234,61,295
239,63,302
238,60,298
234,60,294
231,60,291
229,61,290
233,61,294
231,61,292
222,60,282
220,60,280
207,61,268
214,63,277
219,62,281
205,63,268
217,63,280
214,63,277
211,64,275
214,67,281
215,68,283
212,68,280
210,69,279
219,70,289
223,71,294
226,72,298
226,74,300
228,72,300
235,75,310
239,75,314
242,75,317
241,75,316
241,76,317
246,73,319
244,76,320
244,78,322
249,78,327
251,77,328
251,79,330
253,78,331
253,79,332
263,81,344
269,81,350
263,81,344
259,79,338
257,80,337
274,82,356
271,83,354
273,83,356
278,82,360
273,81,354
269,79,348
272,77,349
273,79,352
276,80,356
269,80,349
269,82,351
273,82,355
266,82,348
261,82,343
259,82,341
262,83,345
263,84,347
268,84,352
267,83,350
264,82,346
266,81,347
267,82,349
270,83,353
264,84,348
267,84,351
261,83,344
263,83,346
269,83,352
271,84,355
273,82,355
279,83,362
275,83,358
282,83,365
284,84,368
292,85,377
295,82,377
291,84,375
291,83,374
287,83,370
299,83,382
292,81,373
287,80,367
283,78,361
281,78,359
286,82,368
283,83,366
287,85,372
293,84,377
302,84,386
300,84,384
300,84,384
304,85,389
298,85,383
296,83,379
297,85,382
294,83,377
297,84,381
293,82,375
294,82,376
300,83,383
291,84,375
294,87,381
296,86,382
286,87,373
300,86,386
296,84,380
291,83,374
296,82,378
298,82,380
292,81,373
291,80,371
285,78,363
280,78,358
291,76,367
290,75,365
282,77,359
276,77,353
279,78,357
283,75,358
278,72,350
283,72,355
286,72,358
280,70,350
281,69,350
280,68,348
273,67,340
268,67,335
259,68,327
265,69,334
262,68,330
259,68,327
255,67,322
251,66,317
254,67,321
247,68,315
253,68,321
250,66,316
255,66,321
253,66,319
234,63,297
244,64,308
240,63,303
238,62,300
232,63,295
224,63,287
231,64,295
219,65,284
225,65,290
226,65,291
227,64,291
228,65,293
224,63,287
213,61,274
219,62,281
225,64,289
232,64,296
221,62,283
213,62,275
222,62,284
230,62,292
230,63,293
224,63,287
225,64,289
219,62,281
220,62,282
205,65,270
212,66,278
214,63,277
210,64,274
221,64,285
219,65,284
219,63,282
219,63,282
214,64,278
219,64,283
217,64,281
223,66,289
226,66,292
232,68,300
229,67,296
228,68,296
231,69,300
230,69,299
226,69,295
243,70,313
240,70,310
241,70,311
238,68,306
236,69,305
244,68,312
242,66,308
255,67,322
248,69,317
252,70,322
256,70,326
259,71,330
253,71,324
256,73,329
254,73,327
255,73,328
250,72,322
251,74,325
254,74,328
244,74,318
243,76,319
251,77,328
253,77,330
256,80,336
264,80,344
265,80,345
274,81,355
262,80,342
265,84,349
274,85,359
273,85,358
284,85,369
288,84,372
287,84,371
283,82,365
291,82,373
290,82,372
295,81,376
291,79,370
291,78,369
291,77,368
285,77,362
280,76,356
286,76,362
278,74,352
277,72,349
274,72,346
268,70,338
276,70,346
286,70,356
277,69,346
277,69,346
281,68,349
279,67,346
271,66,337
267,64,331
269,63,332
268,65,333
271,63,334
263,61,324
252,63,315
259,63,322
259,64,323
249,63,312
248,63,311
248,63,311
248,62,310
248,62,310
250,62,312
243,61,304
244,62,306
237,63,300
237,63,300
235,62,297
237,62,299
233,62,295
231,63,294
227,59,286
219,59,278
226,59,285
218,59,277
213,58,271
219,61,280
226,61,287
